r,t,l,y,RateOfTotalActivity
KENYA,BESS_TECH,TS25,2027,0.0557
KENYA,BESS_TECH,TS25,2029,0.1341
KENYA,BESS_TECH,TS25,2030,0.1149
KENYA,BESS_TECH,TS25,2033,0.7759
KENYA,BESS_TECH,TS25,2037,1.0326
KENYA,BESS_TECH,TS25,2040,0.9192
KENYA,BESS_TECH,TS25,2041,2.0437
KENYA,BESS_TECH,TS25,2042,0.3976
KENYA,BESS_TECH,TS25,2043,0.2093
KENYA,BESS_TECH,TS25,2048,2.4947
KENYA,BESS_TECH,TS25,2049,0.9235
KENYA,BESS_TECH,TS26,2024,0.2048
KENYA,BESS_TECH,TS26,2025,0.3813
KENYA,BESS_TECH,TS26,2026,2.7221
KENYA,BESS_TECH,TS26,2027,2.7221
KENYA,BESS_TECH,TS26,2028,2.7221
KENYA,BESS_TECH,TS26,2029,2.7221
KENYA,BESS_TECH,TS26,2030,2.7221
KENYA,BESS_TECH,TS26,2031,1.0732
KENYA,BESS_TECH,TS26,2032,2.7221
KENYA,BESS_TECH,TS26,2033,2.7221
KENYA,BESS_TECH,TS26,2034,2.5174
KENYA,BESS_TECH,TS26,2037,1.1806
KENYA,BESS_TECH,TS26,2038,1.1806
KENYA,BESS_TECH,TS26,2039,1.1806
KENYA,BESS_TECH,TS26,2040,1.8923
KENYA,BESS_TECH,TS26,2041,2.0437
KENYA,BESS_TECH,TS26,2042,0.1871
KENYA,BESS_TECH,TS26,2043,2.0437
KENYA,BESS_TECH,TS26,2044,2.0437
KENYA,BESS_TECH,TS26,2045,0.3221
KENYA,BESS_TECH,TS26,2046,1.415
KENYA,BESS_TECH,TS26,2047,2.3355
KENYA,BESS_TECH,TS26,2048,4.5919
KENYA,BESS_TECH,TS26,2049,4.0032
KENYA,BESS_TECH,TS26,2050,0.7086
KENYA,BESS_TECH,TS27,2024,0.1355
KENYA,BESS_TECH,TS27,2025,1.5836
KENYA,BESS_TECH,TS27,2026,2.7221
KENYA,BESS_TECH,TS27,2027,2.7221
KENYA,BESS_TECH,TS27,2028,2.7221
KENYA,BESS_TECH,TS27,2029,2.7221
KENYA,BESS_TECH,TS27,2030,2.4915
KENYA,BESS_TECH,TS27,2031,2.0082
KENYA,BESS_TECH,TS27,2032,2.5377
KENYA,BESS_TECH,TS27,2033,2.7221
KENYA,BESS_TECH,TS27,2034,2.1263
KENYA,BESS_TECH,TS27,2037,1.1806
KENYA,BESS_TECH,TS27,2038,1.0615
KENYA,BESS_TECH,TS27,2039,0.7813
KENYA,BESS_TECH,TS27,2040,0.6311
KENYA,BESS_TECH,TS27,2041,1.3525
