r,l,f,y,Demand
KENYA,TS06,COMELC,2036,0.3525
KENYA,TS06,COMELC,2037,0.3846
KENYA,TS06,COMELC,2038,0.4196
KENYA,TS06,COMELC,2039,0.4578
KENYA,TS06,COMELC,2040,0.4994
KENYA,TS06,COMELC,2041,0.5449
KENYA,TS06,COMELC,2042,0.5902
KENYA,TS06,COMELC,2043,0.6383
KENYA,TS06,COMELC,2044,0.6903
KENYA,TS06,COMELC,2045,0.7466
KENYA,TS06,COMELC,2046,0.8075
KENYA,TS06,COMELC,2047,0.8733
KENYA,TS06,COMELC,2048,0.9445
KENYA,TS06,COMELC,2049,1.0216
KENYA,TS06,COMELC,2050,1.1049
KENYA,TS06,INDELC,2019,0.3838
KENYA,TS06,INDELC,2020,0.3905
KENYA,TS06,INDELC,2021,0.4083
KENYA,TS06,INDELC,2022,0.4219
KENYA,TS06,INDELC,2023,0.4348
KENYA,TS06,INDELC,2024,0.4497
KENYA,TS06,INDELC,2025,0.4659
KENYA,TS06,INDELC,2026,0.5083
KENYA,TS06,INDELC,2027,0.5546
KENYA,TS06,INDELC,2028,0.6051
KENYA,TS06,INDELC,2029,0.6601
KENYA,TS06,INDELC,2030,0.7202
KENYA,TS06,INDELC,2031,0.7857
KENYA,TS06,INDELC,2032,0.8572
KENYA,TS06,INDELC,2033,0.9352
KENYA,TS06,INDELC,2034,1.0203
KENYA,TS06,INDELC,2035,1.1131
KENYA,TS06,INDELC,2036,1.2144
KENYA,TS06,INDELC,2037,1.3249
KENYA,TS06,INDELC,2038,1.4455
KENYA,TS06,INDELC,2039,1.577
KENYA,TS06,INDELC,2040,1.7205
KENYA,TS06,INDELC,2041,1.8771
KENYA,TS06,INDELC,2042,2.0331
KENYA,TS06,INDELC,2043,2.1989
KENYA,TS06,INDELC,2044,2.3782
KENYA,TS06,INDELC,2045,2.5721
KENYA,TS06,INDELC,2046,2.7818
KENYA,TS06,INDELC,2047,3.0087
KENYA,TS06,INDELC,2048,3.254
KENYA,TS06,INDELC,2049,3.5193
KENYA,TS06,INDELC,2050,3.8063
KENYA,TS06,RESELC,2019,0.2455
KENYA,TS06,RESELC,2020,0.2498
KENYA,TS06,RESELC,2021,0.2611
KENYA,TS06,RESELC,2022,0.2698
KENYA,TS06,RESELC,2023,0.2781
KENYA,TS06,RESELC,2024,0.2876
KENYA,TS06,RESELC,2025,0.298
KENYA,TS06,RESELC,2026,0.3251
KENYA,TS06,RESELC,2027,0.3547
KENYA,TS06,RESELC,2028,0.387
KENYA,TS06,RESELC,2029,0.4222
KENYA,TS06,RESELC,2030,0.4606
KENYA,TS06,RESELC,2031,0.5025
KENYA,TS06,RESELC,2032,0.5482
KENYA,TS06,RESELC,2033,0.5981
KENYA,TS06,RESELC,2034,0.6525
KENYA,TS06,RESELC,2035,0.7119
KENYA,TS06,RESELC,2036,0.7767
KENYA,TS06,RESELC,2037,0.8474
KENYA,TS06,RESELC,2038,0.9245
KENYA,TS06,RESELC,2039,1.0086
KENYA,TS06,RESELC,2040,1.1004
KENYA,TS06,RESELC,2041,1.2005
KENYA,TS06,RESELC,2042,1.3003
KENYA,TS06,RESELC,2043,1.4063
KENYA,TS06,RESELC,2044,1.521
KENYA,TS06,RESELC,2045,1.645
KENYA,TS06,RESELC,2046,1.7791
KENYA,TS06,RESELC,2047,1.9242
KENYA,TS06,RESELC,2048,2.0811
KENYA,TS06,RESELC,2049,2.2508
KENYA,TS06,RESELC,2050,2.4343
KENYA,TS07,COMELC,2019,0.0989
KENYA,TS07,COMELC,2020,0.1006
KENYA,TS07,COMELC,2021,0.1052
KENYA,TS07,COMELC,2022,0.1087
KENYA,TS07,COMELC,2023,0.112
KENYA,TS07,COMELC,2024,0.1159
KENYA,TS07,COMELC,2025,0.1201
KENYA,TS07,COMELC,2026,0.131
KENYA,TS07,COMELC,2027,0.1429
KENYA,TS07,COMELC,2028,0.1559
KENYA,TS07,COMELC,2029,0.1701
KENYA,TS07,COMELC,2030,0.1856
KENYA,TS07,COMELC,2031,0.2024
KENYA,TS07,COMELC,2032,0.2209
KENYA,TS07,COMELC,2033,0.241
KENYA,TS07,COMELC,2034,0.2629
KENYA,TS07,COMELC,2035,0.2868
KENYA,TS07,COMELC,2036,0.3129
KENYA,TS07,COMELC,2037,0.3414
KENYA,TS07,COMELC,2038,0.3724
KENYA,TS07,COMELC,2039,0.4063
KENYA,TS07,COMELC,2040,0.4433
KENYA,TS07,COMELC,2041,0.4836
KENYA,TS07,COMELC,2042,0.5238
KENYA,TS07,COMELC,2043,0.5666
KENYA,TS07,COMELC,2044,0.6128
KENYA,TS07,COMELC,2045,0.6627
KENYA,TS07,COMELC,2046,0.7168
KENYA,TS07,COMELC,2047,0.7752
KENYA,TS07,COMELC,2048,0.8384
KENYA,TS07,COMELC,2049,0.9068
KENYA,TS07,COMELC,2050,0.9807
KENYA,TS07,INDELC,2019,0.3407
KENYA,TS07,INDELC,2020,0.3467
KENYA,TS07,INDELC,2021,0.3624
KENYA,TS07,INDELC,2022,0.3745
KENYA,TS07,INDELC,2023,0.3859
KENYA,TS07,INDELC,2024,0.3992
KENYA,TS07,INDELC,2025,0.4136
KENYA,TS07,INDELC,2026,0.4512
KENYA,TS07,INDELC,2027,0.4923
KENYA,TS07,INDELC,2028,0.5371
KENYA,TS07,INDELC,2029,0.5859
KENYA,TS07,INDELC,2030,0.6393
KENYA,TS07,INDELC,2031,0.6974
KENYA,TS07,INDELC,2032,0.7609
KENYA,TS07,INDELC,2033,0.8301
KENYA,TS07,INDELC,2034,0.9057
KENYA,TS07,INDELC,2035,0.9881
KENYA,TS07,INDELC,2036,1.078
KENYA,TS07,INDELC,2037,1.1761
KENYA,TS07,INDELC,2038,1.2831
KENYA,TS07,INDELC,2039,1.3998
KENYA,TS07,INDELC,2040,1.5272
KENYA,TS07,INDELC,2041,1.6662
KENYA,TS07,INDELC,2042,1.8047
KENYA,TS07,INDELC,2043,1.9518
KENYA,TS07,INDELC,2044,2.111
KENYA,TS07,INDELC,2045,2.2831
