r,t,y,AnnualVariableOperatingCost
KENYA,PWRGEO011,2023,0.4967
KENYA,PWRGEO011,2024,0.4967
KENYA,PWRGEO011,2025,0.4967
KENYA,PWRGEO011,2026,0.4967
KENYA,PWRGEO011,2027,0.4967
KENYA,PWRGEO011,2028,0.4967
KENYA,PWRGEO011,2029,0.4967
KENYA,PWRGEO011,2030,0.4967
KENYA,PWRGEO011,2031,0.4967
KENYA,PWRGEO011,2032,0.4967
KENYA,PWRGEO011,2033,0.4967
KENYA,PWRGEO011,2034,0.4967
KENYA,PWRGEO011,2035,0.4967
KENYA,PWRGEO011,2036,0.4967
KENYA,PWRGEO011,2037,0.4967
KENYA,PWRGEO011,2038,0.4967
KENYA,PWRGEO011,2039,0.4967
KENYA,PWRGEO011,2040,0.4967
KENYA,PWRGEO011,2041,0.4967
KENYA,PWRGEO011,2042,0.4967
KENYA,PWRGEO011,2043,0.4967
KENYA,PWRGEO011,2044,0.4967
KENYA,PWRGEO011,2045,0.4967
KENYA,PWRGEO011,2046,0.4967
KENYA,PWRGEO012,2019,0.942
KENYA,PWRGEO012,2020,0.942
KENYA,PWRGEO012,2021,0.942
KENYA,PWRGEO012,2022,0.942
KENYA,PWRGEO012,2023,0.942
KENYA,PWRGEO012,2024,0.942
KENYA,PWRGEO012,2025,0.942
KENYA,PWRGEO012,2026,0.942
KENYA,PWRGEO012,2027,0.942
KENYA,PWRGEO012,2028,0.942
KENYA,PWRGEO012,2029,0.942
KENYA,PWRGEO012,2030,0.942
KENYA,PWRGEO012,2031,0.942
KENYA,PWRGEO012,2032,0.942
KENYA,PWRGEO012,2033,0.942
KENYA,PWRGEO012,2034,0.942
KENYA,PWRGEO012,2035,0.942
KENYA,PWRGEO012,2036,0.942
KENYA,PWRGEO012,2037,0.942
KENYA,PWRGEO012,2038,0.942
KENYA,PWRGEO012,2039,0.942
KENYA,PWRGEO012,2040,0.942
KENYA,PWRGEO012,2041,0.942
KENYA,PWRGEO012,2042,0.942
KENYA,PWRGEO012,2043,0.942
KENYA,PWRGEO012,2044,0.942
KENYA,PWRGEO013,2029,0.8347
KENYA,PWRGEO013,2030,0.8347
KENYA,PWRGEO013,2031,0.8347
KENYA,PWRGEO013,2032,0.8347
KENYA,PWRGEO013,2033,0.8347
KENYA,PWRGEO013,2034,0.8347
KENYA,PWRGEO013,2035,0.8347
KENYA,PWRGEO013,2036,0.8347
KENYA,PWRGEO013,2037,0.8347
KENYA,PWRGEO013,2038,0.8347
KENYA,PWRGEO013,2039,0.8347
KENYA,PWRGEO013,2040,0.8347
KENYA,PWRGEO013,2041,0.8347
KENYA,PWRGEO013,2042,0.8347
KENYA,PWRGEO013,2043,0.8347
KENYA,PWRGEO013,2044,0.8347
KENYA,PWRGEO013,2045,0.8347
KENYA,PWRGEO013,2046,0.8347
KENYA,PWRGEO013,2047,0.8347
KENYA,PWRGEO013,2048,0.8347
KENYA,PWRGEO013,2049,0.8347
KENYA,PWRGEO013,2050,0.8347
KENYA,PWRGEO014,2029,0.8347
KENYA,PWRGEO014,2030,0.8347
KENYA,PWRGEO014,2031,0.8347
KENYA,PWRGEO014,2032,0.8347
KENYA,PWRGEO014,2033,0.8347
KENYA,PWRGEO014,2034,0.8347
KENYA,PWRGEO014,2035,0.8347
KENYA,PWRGEO014,2036,0.8347
KENYA,PWRGEO014,2037,0.8347
KENYA,PWRGEO014,2038,0.8347
