r,t,m,y,TotalAnnualTechnologyActivityByMode
KENYA,MINHYD,1,2025,12.1718
KENYA,MINHYD,1,2026,12.5015
KENYA,MINHYD,1,2027,12.6478
KENYA,MINHYD,1,2028,12.689
KENYA,MINHYD,1,2029,12.7873
KENYA,MINHYD,1,2030,13.2739
KENYA,MINHYD,1,2031,13.6474
KENYA,MINHYD,1,2032,13.8894
KENYA,MINHYD,1,2033,14.6304
KENYA,MINHYD,1,2034,14.9641
KENYA,MINHYD,1,2035,15.3855
KENYA,MINHYD,1,2036,15.7564
KENYA,MINHYD,1,2037,15.8042
KENYA,MINHYD,1,2038,15.8561
KENYA,MINHYD,1,2039,15.9119
KENYA,MINHYD,1,2040,15.9744
KENYA,MINHYD,1,2041,16.0422
KENYA,MINHYD,1,2042,14.4222
KENYA,MINHYD,1,2043,15.2642
KENYA,MINHYD,1,2044,15.4845
KENYA,MINHYD,1,2045,16.2774
KENYA,MINHYD,1,2046,17.8883
KENYA,MINHYD,1,2047,20.2975
KENYA,MINHYD,1,2048,20.6995
KENYA,MINHYD,1,2049,20.8378
KENYA,MINHYD,1,2050,20.9893
KENYA,MINSOL,1,2019,0.3111
KENYA,MINSOL,1,2020,0.3111
KENYA,MINSOL,1,2021,0.8065
KENYA,MINSOL,1,2022,1.0542
KENYA,MINSOL,1,2023,1.3112
KENYA,MINSOL,1,2024,1.5588
KENYA,MINSOL,1,2025,1.5588
KENYA,MINSOL,1,2026,1.8065
KENYA,MINSOL,1,2027,1.8065
KENYA,MINSOL,1,2028,1.8065
KENYA,MINSOL,1,2029,1.8065
KENYA,MINSOL,1,2030,1.8065
KENYA,MINSOL,1,2031,1.8065
KENYA,MINSOL,1,2032,1.8065
KENYA,MINSOL,1,2033,1.8065
KENYA,MINSOL,1,2034,2.0542
KENYA,MINSOL,1,2035,2.8127
KENYA,MINSOL,1,2036,2.8127
KENYA,MINSOL,1,2037,2.8127
KENYA,MINSOL,1,2038,2.5016
KENYA,MINSOL,1,2039,2.5016
KENYA,MINSOL,1,2040,2.5016
KENYA,MINSOL,1,2041,2.0062
KENYA,MINSOL,1,2042,1.7585
KENYA,MINSOL,1,2043,1.5016
KENYA,MINSOL,1,2044,1.2539
KENYA,MINSOL,1,2045,1.2539
KENYA,MINSOL,1,2046,1.0062
KENYA,MINSOL,1,2047,1.0062
KENYA,MINSOL,1,2048,1.0062
KENYA,MINSOL,1,2049,1.0062
KENYA,MINSOL,1,2050,1.0062
KENYA,MINWND,1,2019,5.4829
KENYA,MINWND,1,2020,5.4829
KENYA,MINWND,1,2021,6.9304
KENYA,MINWND,1,2022,6.9304
KENYA,MINWND,1,2023,6.9304
KENYA,MINWND,1,2024,6.9304
KENYA,MINWND,1,2025,7.0512
KENYA,MINWND,1,2026,7.6819
KENYA,MINWND,1,2027,7.6819
KENYA,MINWND,1,2028,8.8876
KENYA,MINWND,1,2029,8.8876
KENYA,MINWND,1,2030,8.8876
KENYA,MINWND,1,2031,9.3234
KENYA,MINWND,1,2032,9.7205
KENYA,MINWND,1,2033,9.7818
KENYA,MINWND,1,2034,9.7818
KENYA,MINWND,1,2035,9.5576
KENYA,MINWND,1,2036,9.5576
KENYA,MINWND,1,2037,9.5576
KENYA,MINWND,1,2038,6.0892
KENYA,MINWND,1,2039,4.355
KENYA,MINWND,1,2040,4.355
KENYA,MINWND,1,2041,2.9075
KENYA,MINWND,1,2042,2.9075
KENYA,MINWND,1,2043,3.3017
KENYA,MINWND,1,2044,3.3017
KENYA,MINWND,1,2045,3.1808
