r,t,y,TotalTechnologyAnnualActivity
KENYA,PWRDIST,2045,292.4678
KENYA,PWRDIST,2046,316.2387
KENYA,PWRDIST,2047,341.8836
KENYA,PWRDIST,2048,369.6253
KENYA,PWRDIST,2049,399.5958
KENYA,PWRDIST,2050,431.9279
KENYA,PWRGEO001,2019,0.4472
KENYA,PWRGEO001,2020,0.4472
KENYA,PWRGEO001,2021,0.4472
KENYA,PWRGEO001,2022,0.4472
KENYA,PWRGEO001,2023,0.4472
KENYA,PWRGEO002,2019,4.1736
KENYA,PWRGEO002,2020,4.1736
KENYA,PWRGEO002,2021,4.1736
KENYA,PWRGEO002,2022,4.1736
KENYA,PWRGEO002,2023,4.1736
KENYA,PWRGEO002,2024,4.1736
KENYA,PWRGEO002,2025,4.1736
KENYA,PWRGEO002,2026,4.1736
KENYA,PWRGEO002,2027,4.1736
KENYA,PWRGEO002,2028,4.1736
KENYA,PWRGEO002,2029,4.1736
KENYA,PWRGEO002,2030,4.1736
KENYA,PWRGEO002,2031,4.1736
KENYA,PWRGEO002,2032,4.1736
KENYA,PWRGEO002,2033,4.1736
KENYA,PWRGEO002,2034,4.1736
KENYA,PWRGEO002,2035,4.1736
KENYA,PWRGEO002,2036,4.1736
KENYA,PWRGEO002,2037,4.1736
KENYA,PWRGEO002,2038,4.1736
KENYA,PWRGEO002,2039,4.1736
KENYA,PWRGEO002,2040,4.1736
KENYA,PWRGEO003,2019,3.0109
KENYA,PWRGEO003,2020,3.0109
KENYA,PWRGEO003,2021,3.0109
KENYA,PWRGEO003,2022,3.0109
KENYA,PWRGEO003,2023,3.0109
KENYA,PWRGEO003,2024,3.0109
KENYA,PWRGEO003,2025,3.0109
KENYA,PWRGEO003,2026,3.0109
KENYA,PWRGEO003,2027,3.0109
KENYA,PWRGEO003,2028,3.0109
KENYA,PWRGEO004,2019,1.902
KENYA,PWRGEO004,2020,1.902
KENYA,PWRGEO004,2021,1.902
KENYA,PWRGEO004,2022,1.902
KENYA,PWRGEO004,2023,1.902
KENYA,PWRGEO004,2024,1.902
KENYA,PWRGEO004,2025,1.902
KENYA,PWRGEO004,2026,1.902
KENYA,PWRGEO004,2027,1.902
KENYA,PWRGEO004,2028,1.902
KENYA,PWRGEO004,2029,1.902
KENYA,PWRGEO004,2030,1.902
KENYA,PWRGEO004,2031,1.902
KENYA,PWRGEO004,2032,1.902
KENYA,PWRGEO004,2033,1.902
KENYA,PWRGEO004,2034,1.902
KENYA,PWRGEO004,2035,1.902
KENYA,PWRGEO004,2036,1.902
KENYA,PWRGEO004,2037,1.902
KENYA,PWRGEO004,2038,1.902
KENYA,PWRGEO004,2039,1.902
KENYA,PWRGEO004,2040,1.902
KENYA,PWRGEO004,2041,1.902
KENYA,PWRGEO004,2042,1.902
KENYA,PWRGEO005,2019,1.1805
KENYA,PWRGEO005,2020,1.1805
KENYA,PWRGEO005,2021,1.1805
KENYA,PWRGEO005,2022,1.1805
KENYA,PWRGEO005,2023,1.1805
KENYA,PWRGEO005,2024,1.1805
KENYA,PWRGEO005,2025,1.1805
KENYA,PWRGEO005,2026,1.1805
KENYA,PWRGEO005,2027,1.1805
KENYA,PWRGEO005,2028,1.1805
KENYA,PWRGEO005,2029,1.1805
KENYA,PWRGEO005,2030,1.1805
KENYA,PWRGEO005,2031,1.1805
KENYA,PWRGEO005,2032,1.1805
KENYA,PWRGEO005,2033,1.1805
KENYA,PWRGEO005,2034,1.1805
KENYA,PWRGEO005,2035,1.1805
KENYA,PWRGEO005,2036,1.1805
KENYA,PWRGEO005,2037,1.1805
KENYA,PWRGEO006,2019,4.1736
KENYA,PWRGEO006,2020,4.1736
KENYA,PWRGEO006,2021,4.1736
KENYA,PWRGEO006,2022,4.1736
KENYA,PWRGEO006,2023,4.1736
KENYA,PWRGEO006,2024,4.1736
KENYA,PWRGEO006,2025,4.1736
KENYA,PWRGEO006,2026,4.1736
KENYA,PWRGEO006,2027,4.1736
KENYA,PWRGEO006,2028,4.1736
KENYA,PWRGEO006,2029,4.1736
KENYA,PWRGEO006,2030,4.1736
KENYA,PWRGEO006,2031,4.1736
KENYA,PWRGEO006,2032,4.1736
KENYA,PWRGEO006,2033,4.1736
KENYA,PWRGEO006,2034,4.1736
KENYA,PWRGEO006,2035,4.1736
KENYA,PWRGEO006,2036,4.1736
KENYA,PWRGEO006,2037,4.1736
KENYA,PWRGEO006,2038,4.1736
KENYA,PWRGEO006,2039,4.1736
KENYA,PWRGEO007,2019,1.3296
KENYA,PWRGEO007,2020,1.3296
KENYA,PWRGEO007,2021,1.3296
KENYA,PWRGEO007,2022,1.3296
KENYA,PWRGEO007,2023,1.3296
KENYA,PWRGEO007,2024,1.3296
KENYA,PWRGEO007,2025,1.3296
KENYA,PWRGEO007,2026,1.3296
KENYA,PWRGEO008,2019,0.8645
KENYA,PWRGEO008,2020,0.8645
KENYA,PWRGEO008,2021,0.8645
KENYA,PWRGEO008,2022,0.8645
KENYA,PWRGEO008,2023,0.8645
KENYA,PWRGEO008,2024,0.8645
KENYA,PWRGEO008,2025,0.8645
KENYA,PWRGEO008,2026,0.8645
KENYA,PWRGEO008,2027,0.8645
KENYA,PWRGEO008,2028,0.8645
KENYA,PWRGEO008,2029,0.8645
