r,t,l,y,RateOfTotalActivity
KENYA,BESS_TECH,TS26,2029,2.7221
KENYA,BESS_TECH,TS26,2030,2.7221
KENYA,BESS_TECH,TS26,2031,2.7221
KENYA,BESS_TECH,TS26,2032,2.7221
KENYA,BESS_TECH,TS26,2033,1.4235
KENYA,BESS_TECH,TS26,2034,2.5174
KENYA,BESS_TECH,TS26,2044,1.9248
KENYA,BESS_TECH,TS26,2045,3.0683
KENYA,BESS_TECH,TS26,2046,7.4984
KENYA,BESS_TECH,TS26,2047,11.357
KENYA,BESS_TECH,TS26,2048,8.8759
KENYA,BESS_TECH,TS26,2049,23.901
KENYA,BESS_TECH,TS26,2050,25.1853
KENYA,BESS_TECH,TS27,2024,0.1355
KENYA,BESS_TECH,TS27,2025,1.5836
KENYA,BESS_TECH,TS27,2026,2.7221
KENYA,BESS_TECH,TS27,2027,2.7221
KENYA,BESS_TECH,TS27,2028,2.7221
KENYA,BESS_TECH,TS27,2029,2.7221
KENYA,BESS_TECH,TS27,2030,2.7221
KENYA,BESS_TECH,TS27,2031,2.7221
KENYA,BESS_TECH,TS27,2032,2.6904
KENYA,BESS_TECH,TS27,2033,1.8205
KENYA,BESS_TECH,TS27,2034,0.4967
KENYA,BESS_TECH,TS27,2044,1.9248
KENYA,BESS_TECH,TS27,2045,3.0683
KENYA,BESS_TECH,TS27,2046,7.4984
KENYA,BESS_TECH,TS27,2047,11.357
KENYA,BESS_TECH,TS27,2048,17.893
KENYA,BESS_TECH,TS27,2049,30.8272
KENYA,BESS_TECH,TS27,2050,31.7029
KENYA,BESS_TECH,TS28,2024,0.2048
KENYA,BESS_TECH,TS28,2025,1.314
KENYA,BESS_TECH,TS28,2026,0.074
KENYA,BESS_TECH,TS28,2028,0.2792
KENYA,BESS_TECH,TS28,2029,1.0338
KENYA,BESS_TECH,TS28,2030,1.1795
KENYA,BESS_TECH,TS28,2031,0.666
KENYA,BESS_TECH,TS28,2032,1.408
KENYA,BESS_TECH,TS28,2033,1.7341
KENYA,BESS_TECH,TS28,2034,0.5244
